OTU	Size	full_tax	Phylum_order 	Phylum	Class	Order	Family	Genus
Otu3779	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3780	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3794	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3802	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3812	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3818	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3822	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3840	2	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Corynebacteriaceae100;Corynebacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
Otu3842	2	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3958	2	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Nocardiaceae100;Rhodococcus100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus
Otu4180	2	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Asaccharobacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
